"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/24/2021","AQS","180110001","1","0.02","ppm","19","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/25/2021","AQS","180110001","1","0.016","ppm","15","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/26/2021","AQS","180110001","1","0.027","ppm","25","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/27/2021","AQS","180110001","1","0.027","ppm","25","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/28/2021","AQS","180110001","1","0.028","ppm","26","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/29/2021","AQS","180110001","1","0.025","ppm","23","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/30/2021","AQS","180110001","1","0.029","ppm","27","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"01/31/2021","AQS","180110001","1","0.033","ppm","31","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/01/2021","AQS","180110001","1","0.039","ppm","36","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/02/2021","AQS","180110001","1","0.03","ppm","28","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/03/2021","AQS","180110001","1","0.033","ppm","31","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/04/2021","AQS","180110001","1","0.025","ppm","23","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/05/2021","AQS","180110001","1","0.031","ppm","29","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/06/2021","AQS","180110001","1","0.034","ppm","31","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/07/2021","AQS","180110001","1","0.031","ppm","29","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/08/2021","AQS","180110001","1","0.024","ppm","22","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/09/2021","AQS","180110001","1","0.038","ppm","35","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/10/2021","AQS","180110001","1","0.035","ppm","32","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
"02/11/2021","AQS","180110001","1","0.039","ppm","36","Perry Worth ELEMENTRY SCHOOL, WEST OF WHITESTOWN","17","100.0000","44201","Ozone","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","011","Boone","39.9977323389292","-86.395394405"
