"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/11/2021","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/12/2021","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/13/2021","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/14/2021","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/15/2021","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/16/2021","AQS","180970078","1","0.3","ppm","3","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/17/2021","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/18/2021","AQS","180970078","1","0.6","ppm","7","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/19/2021","AQS","180970078","1","0.4","ppm","5","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/20/2021","AQS","180970078","1","0.6","ppm","7","Indpls- Washington Park/  in parking lot next to police station","18","75.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
"07/21/2021","AQS","180970078","1","0.5","ppm","6","Indpls- Washington Park/  in parking lot next to police station","24","100.0000","42101","Carbon monoxide","26900","Indianapolis-Carmel-Anderson, IN","18","Indiana","097","Marion","39.810833000928","-86.114444"
